bin_index,count,mean_pred,observed_rate,bin_lower,bin_upper
0,2463,0.03638233943186791,0.0036540803897685747,0.0,0.06206564679284693
1,2462,0.08862909646284735,0.007311129163281885,0.06206564679284693,0.1154883582942152
2,2464,0.14412602389478404,0.015016233766233766,0.1154883582942152,0.1724435935607033
3,2462,0.19948874822441282,0.01462225832656377,0.1724435935607033,0.2263438693219044
4,2463,0.2555263691808646,0.027202598457166056,0.2263438693219044,0.28493638867208565
5,2463,0.3148800887702922,0.02639058059277304,0.28493638867208565,0.3466784405813159
6,2462,0.37828038200060116,0.045491470349309504,0.3466784405813159,0.411525114373371
7,2463,0.4498964257745243,0.060495330897279743,0.411525114373371,0.4914269410153984
8,2463,0.5337655271832982,0.07511165245635404,0.4914269410153984,0.5782393844246715
9,2463,0.6548702005229713,0.146163215590743,0.5782393844246715,1.0
