rank,feature,mean_abs_shap,mean_signed_shap
1,tire_life_ratio,0.04666906271153128,-0.017393201330809703
2,gapBehind,0.03433850332222592,-0.016258446399869227
3,humidity,0.029698553496946778,-0.016182800416030763
4,trackTemp,0.028078746168130254,-0.018395933890147476
5,speedTrap,0.026603859516260212,-0.016356171252051264
6,tyreLife,0.026441344176890796,-0.014090329885825424
7,gapAhead,0.024724207017342653,-0.013156311707894497
8,gap_to_physical_car,0.023797862651944616,-0.01101501123563496
9,position,0.021954008677199627,-0.012081053686900402
10,lapTime,0.02094127855066437,-0.01636302897596912
11,gapAhead_trend,0.01722338439930654,-0.01305899100693106
12,pace_drop_ratio,0.016828433533909688,-0.012323490351232471
13,airTemp,0.014528877401636652,-0.013140480166800876
14,positions_lost,0.010431960681854431,-0.004465413943723245
