protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.4004119277222197,0.4003601103236539,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.39094532944533,0.3919627591192746,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.23096249128348195,0.23076847784507615,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.20869800100594463,0.21070751754321887,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.4207163437611551,0.4205754576847515,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.3976757368205779,0.399436529215981,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.4666663566903109,0.4665479535579477,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.4573007606223284,0.45916656900079506,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.3792609985583057,0.37921055522525443,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.35736272373770217,0.35966971712091633,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.05902530185388467,0.05846136118080918,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.05739108684196281,0.060898957041347596,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.23096249128348195,0.23076847784507615,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.20869800100594463,0.21070751754321887,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.4207163437611551,0.4205754576847515,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.3976757368205779,0.399436529215981,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.4666663566903109,0.4665479535579477,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.4573007606223284,0.45916656900079506,0.08808848980410845,39869,3512
