feature,mean_abs_shap,mean_shap,std_shap,mean_feature_value
tire_life_ratio,0.38031244,-0.10809468,0.4360125,0.46841722222222226
humidity,0.22198845,-0.10862102,0.39217317,53.9804
lapTime_expanding_z,0.21022373,-0.08225702,0.34767026,-0.24917622300879952
trackTemp,0.20185718,-0.15566008,0.38316643,35.25468000000001
airTemp_expanding_z,0.20077795,-0.10883515,0.28075567,0.03719493389388375
lapTime,0.17898355,-0.082311004,0.23700695,92.129208
trackTemp_expanding_z,0.1738282,-0.06266323,0.21773241,-0.3069149025982176
airTemp,0.17197372,-0.08587908,0.23364481,24.01612
position,0.16905972,-0.05787047,0.21213683,10.4174
humidity_expanding_z,0.16126911,-0.07928232,0.1960815,0.08134854379634407
speedTrap,0.15598461,-0.08246623,0.23480293,299.44184184184184
tyreLife,0.11710396,-0.08109699,0.18106681,14.9222
gap_to_physical_car,0.111055374,-0.044887885,0.13154614,628.3779562
gapBehind,0.10738677,-0.07355866,0.124693036,124.8002632
gapAhead_trend,0.10727441,-0.05003733,0.11508484,1.6023842
gapAhead,0.10490911,-0.064734,0.12774137,105.18133800000001
speedTrap_expanding_z,0.078572825,-0.040424187,0.10486526,0.052345325521418296
positions_lost,0.07828616,-0.036900043,0.13809308,2.0724
pace_trend,0.07544409,-0.043292403,0.1493042,0.0011783398445838274
pace_drop_ratio,0.064595304,-0.043115094,0.106303714,1.0107851006479505
pitLoss,0.058276616,-0.040557534,0.088918805,22.5492
has_drop_zone_data,0.0005171224,-5.3516967e-05,0.0016592839,0.3878
