model,case_origin,subtype_auto,race,driver,suggestion_lap,outcome_class,exclusion_reason,nearest_future_pit_distance,failure_type_manual,context_source,notes
MOA,excluded_no_match,unexpected_within_horizon,2022 :: Bahrain Grand Prix,PER,33,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2022 :: Dutch Grand Prix,STR,37,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Austrian Grand Prix,NOR,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,19.0,,,
MOA,excluded_no_match,far_miss_6_plus,2023 :: Singapore Grand Prix,MSC,7,EXCLUDED,NO_MATCH_WITHIN_HORIZON,27.0,,,
MOA,excluded_no_match,no_future,2024 :: British Grand Prix,HAM,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,unexpected_within_horizon,2024 :: Dutch Grand Prix,ALB,44,EXCLUDED,NO_MATCH_WITHIN_HORIZON,0.0,,,
MOA,excluded_no_match,far_miss_6_plus,2024 :: Mexico City Grand Prix,LEC,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Azerbaijan Grand Prix,ANT,6,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,unexpected_within_horizon,2025 :: Canadian Grand Prix,RUS,18,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Chinese Grand Prix,LEC,6,EXCLUDED,NO_MATCH_WITHIN_HORIZON,9.0,,,
MOA,excluded_no_match,no_future,2025 :: French Grand Prix,ALO,39,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,no_future,2025 :: Las Vegas Grand Prix,ALO,34,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Qatar Grand Prix,ZHO,23,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,far_miss_6_plus,2025 :: Saudi Arabian Grand Prix,NOR,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
MOA,excluded_no_match,near_miss_3_5,2025 :: United States Grand Prix,HAM,8,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,near_miss_3_5,2022 :: Abu Dhabi Grand Prix,RIC,16,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,far_miss_6_plus,2022 :: Abu Dhabi Grand Prix,VET,12,EXCLUDED,NO_MATCH_WITHIN_HORIZON,13.0,,,
SDE,excluded_no_match,no_future,2022 :: Singapore Grand Prix,BOT,57,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,unexpected_within_horizon,2023 :: Abu Dhabi Grand Prix,HAM,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,1.0,,,
SDE,excluded_no_match,no_future,2023 :: Azerbaijan Grand Prix,PER,41,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: Mexico City Grand Prix,ZHO,9,EXCLUDED,NO_MATCH_WITHIN_HORIZON,12.0,,,
SDE,excluded_no_match,no_future,2023 :: Singapore Grand Prix,SAI,50,EXCLUDED,NO_MATCH_WITHIN_HORIZON,,,,
SDE,excluded_no_match,far_miss_6_plus,2023 :: United States Grand Prix,TSU,48,EXCLUDED,NO_MATCH_WITHIN_HORIZON,6.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Abu Dhabi Grand Prix,HAM,10,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Belgian Grand Prix,MSC,27,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Hungarian Grand Prix,ALO,17,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Qatar Grand Prix,LEC,38,EXCLUDED,NO_MATCH_WITHIN_HORIZON,5.0,,,
SDE,excluded_no_match,near_miss_3_5,2024 :: Qatar Grand Prix,NOR,40,EXCLUDED,NO_MATCH_WITHIN_HORIZON,4.0,,,
SDE,excluded_no_match,far_miss_6_plus,2025 :: Abu Dhabi Grand Prix,BOT,22,EXCLUDED,NO_MATCH_WITHIN_HORIZON,7.0,,,
SDE,excluded_no_match,near_miss_3_5,2025 :: Italian Grand Prix,HAM,30,EXCLUDED,NO_MATCH_WITHIN_HORIZON,3.0,,,
