feature,importance_drop_f1,importance_std
race_progress_pct,0.03656175975211021,0.004944480223288556
lapTime_vs_driver_prev_mean_pct,0.016354995726397037,0.005511724851498872
lapTime,0.01302836147582349,0.002830656272682738
humidity,0.012676928268848609,0.003040806607028104
tire_life_ratio,0.011461056391861107,0.002376736344400984
speedTrap,0.011220838985741444,0.0026598441514118316
lapTime_vs_race_prev_lapbucket_mean_pct,0.00795021885997726,0.002527957000662083
pitLoss,0.007561555487604205,0.001295824737857177
position,0.006048616516633076,0.0020099609858037193
gapAhead,0.005768210405861107,0.0021829141834776187
lapTime_vs_team_prev_lapbucket_mean_pct,0.005762223844566416,0.0026960225170114317
trackTemp,0.004337587085540778,0.0027041488297434475
airTemp,0.0037121824918163624,0.0023053512411482582
pace_drop_ratio,0.0029127621764101,0.002503297182593501
gapBehind,0.002454367725575113,0.002166678442322663
gap_to_physical_car,0.0020086655290524834,0.0014179712546545462
has_drop_zone_data,0.0015322682011307154,0.0012718512948005952
positions_lost,0.00023080065587259834,0.0009344361278869822
pace_trend,-9.628794054972745e-05,0.0019886685763844197
gapAhead_trend,-0.0001546715014524025,0.0019318294185131594
tyreLife,-0.0005551785444480928,0.003428437925829039
