check,status,note
phase_b_sde_precision_consistency,PASS,"recomputed=0.734313725490, phase_b=0.734313725490"
phase_b_ml_precision_consistency,PASS,"recomputed=0.942857142857, phase_b=0.942857142857"
phase_c_best_threshold_selected,PASS,selected_threshold=0.050000
phase_c_best_scored_consistency,PASS,"best_comparator_scored=3734, phase_c_scored=3734"
phase_d_raw_ece_consistency,PASS,"bins=0.261433769837, summary=0.261433769837"
phase_d_calibrated_ece_consistency,PASS,"bins=0.006690241810, summary=0.006690241810"
phase_d_raw_mce_consistency,PASS,"bins=0.561550090379, summary=0.561550090379"
phase_d_calibrated_mce_consistency,PASS,"bins=0.099172619710, summary=0.099172619710"
phase_g_p95_consistency,PASS,"summary=10.268393499427, details=10.268393499427"
integrated_gate_go,FAIL,phase_h_status=NO_GO
phase_f_parity_gate,PASS,phase_f_status=PASS
split_integrity_overall,FAIL,phase_j_split_status=FAIL
new_artifacts_presence,FAIL,missing=data_lake/reports/paper_fig2_calibration_reliability_2022_2025_merged.pdf;data_lake/reports/paper_fig3_calibration_gap_2022_2025_merged.pdf;data_lake/reports/paper_fig4_latency_by_year_p95_2022_2025_merged.pdf;data_lake/reports/paper_fig5_latency_components_2022_2025_merged.pdf
moa_permutation_rows_nonzero,PASS,"rows_used=123213, unknown_rows=923"
